compound_name,chembl_id,found
ISOTRETINOIN,CHEMBL547,True
FORMOTEROL FUMARATE,CHEMBL3989798,True
METHOXAMINE HYDROCHLORIDE,CHEMBL1201103,True
TALC ANHYDROUS,CHEMBL3990276,True
YTTERBIUM PENTETATE,CHEMBL2219546,True
BENDAZAC,CHEMBL1089221,True
ADAPALENE,CHEMBL1265,True
ZIPEPROL,CHEMBL2105497,True
PHENTERMINE,CHEMBL1574,True
VINCAMINE,CHEMBL1165342,True
GUANIDINE,CHEMBL821,True
CARBENICILLIN,CHEMBL1214,True
LAPATINIB,CHEMBL554,True
ALISKIREN,CHEMBL1639,True
KETOTIFEN,CHEMBL534,True
TERBUTALINE SULFATE,CHEMBL1315867,True
PENICILLIN G,CHEMBL29,True
OCTOCRYLENE,CHEMBL1201147,True
MAGNESIUM ACETATE,CHEMBL1200691,True
MASOPROCOL,CHEMBL313972,True
PHENYLBUTANOIC ACID,CHEMBL1469,True
PHENDIMETRAZINE,CHEMBL1615439,True
KETOCONAZOLE,CHEMBL157101,True
METHAMPHETAMINE HYDROCHLORIDE,CHEMBL1200952,True
GLASDEGIB,CHEMBL2043437,True
MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,CHEMBL6068336,True
GIVINOSTAT,CHEMBL1213492,True
SUFENTANIL,CHEMBL658,True
NANDROLONE DECANOATE,CHEMBL1200946,True
BETRIXABAN,CHEMBL512351,True
IPRATROPIUM BROMIDE,CHEMBL2134724,True
PROCARBAZINE HYDROCHLORIDE,CHEMBL1200410,True
TRIBROMSALAN,CHEMBL24944,True
FENTANYL CITRATE,CHEMBL688,True
IRBESARTAN HYDROCHLORIDE,CHEMBL6068339,True
CEFTAZIDIME,CHEMBL44354,True
PROMETHAZINE,CHEMBL643,True
OLUTASIDENIB,CHEMBL4297610,True
REMIMAZOLAM,CHEMBL4297526,True
OXPRENOLOL,CHEMBL546,True
BESIFLOXACIN,CHEMBL1201760,True
REMIFENTANIL HYDROCHLORIDE,CHEMBL1201120,True
FLUPHENAZINE ENANTHATE,CHEMBL1200951,True
METAPROTERENOL,CHEMBL776,True
PENTOLINIUM TARTRATE,CHEMBL1318287,True
FEBUXOSTAT,CHEMBL1164729,True
ZOLPIDEM,CHEMBL911,True
PHENTOLAMINE,CHEMBL597,True
PIROXICAM,CHEMBL527,True
PEMETREXED MONOHYDRATE,CHEMBL5315053,True
CARPHENAZINE MALEATE,CHEMBL2358147,True
CHLORHEXIDINE,CHEMBL790,True
